id	showname	reaction	change
1	1st largest ATP production	A00001	0
2	1st largest ATP production	A00003	0
3	1st largest ATP production	R10862	0
4	1st largest ATP production	R10900	0
5	1st largest ATP production	R10550	0
6	1st largest ATP production	R10563	0
7	1st largest ATP production	R03616	0
8	1st largest ATP production	R01104	0
1	2nd largest ATP production	A00001	0
2	2nd largest ATP production	A00002	0
1	3rd largest ATP production	A00001	0
2	3rd largest ATP production	A00003	0
3	3rd largest ATP production	R10862	0
4	3rd largest ATP production	R10900	0
5	3rd largest ATP production	R10550	0
6	3rd largest ATP production	R10616	0
7	3rd largest ATP production	R03033	0
8	3rd largest ATP production	R01098	0
1	1st smallest CO2 loss	A00001	0
2	1st smallest CO2 loss	A00003	0
3	1st smallest CO2 loss	R10862	0
4	1st smallest CO2 loss	R10900	0
5	1st smallest CO2 loss	R10550	0
6	1st smallest CO2 loss	R10563	0
7	1st smallest CO2 loss	R03616	0
8	1st smallest CO2 loss	R01104	0
1	2nd smallest CO2 loss	A00001	0
2	2nd smallest CO2 loss	A00002	0
1	3rd smallest CO2 loss	A00001	0
2	3rd smallest CO2 loss	A00003	0
3	3rd smallest CO2 loss	R10862	0
4	3rd smallest CO2 loss	R10900	0
5	3rd smallest CO2 loss	R10550	0
6	3rd smallest CO2 loss	R10616	0
7	3rd smallest CO2 loss	R03033	0
8	3rd smallest CO2 loss	R01098	0
1	1st largest NADH production	A00001	0
2	1st largest NADH production	A00003	0
3	1st largest NADH production	R10862	0
4	1st largest NADH production	R10900	0
5	1st largest NADH production	R10550	0
6	1st largest NADH production	R10563	0
7	1st largest NADH production	R03616	0
8	1st largest NADH production	R01104	0
1	2nd largest NADH production	A00001	0
2	2nd largest NADH production	A00002	0
1	3rd largest NADH production	A00001	0
2	3rd largest NADH production	A00003	0
3	3rd largest NADH production	R10862	0
4	3rd largest NADH production	R10900	0
5	3rd largest NADH production	R10550	0
6	3rd largest NADH production	R10616	0
7	3rd largest NADH production	R03033	0
8	3rd largest NADH production	R01098	0
1	1st largest NADPH production	A00001	0
2	1st largest NADPH production	A00003	0
3	1st largest NADPH production	R10862	1
4	1st largest NADPH production	R10900	0
5	1st largest NADPH production	R10550	0
6	1st largest NADPH production	R10616	0
7	1st largest NADPH production	R03033	0
8	1st largest NADPH production	R01098	0
1	2nd largest NADPH production	A00001	0
2	2nd largest NADPH production	A00003	0
3	2nd largest NADPH production	R10862	1
4	2nd largest NADPH production	R10900	0
5	2nd largest NADPH production	R10550	0
6	2nd largest NADPH production	R10563	-1
7	2nd largest NADPH production	R03616	0
8	2nd largest NADPH production	R01104	0
1	3rd largest NADPH production	A00001	0
2	3rd largest NADPH production	A00002	0
